position,raw_time,raw_name
1,32:06:00,Mahamed Mahamed
2,32:43:00,Joe Steward
3,32:50:00,Jayme Rossiter
4,32:50:00,Daniel Jarvis
5,32:58:00,Jake Smith
6,33:02:00,Mark Pearce
7,33:04:00,Abdulqani Sharif
8,33:05:00,Sol Sweeney
9,33:15:00,Michael Ward
10,33:17:00,Tom Mortimer
11,33:22:00,Joe Wilkinson
12,33:22:00,Jack Leitch
13,33:26:00,Ellis Cross
14,33:28:00,James Gormley
15,33:30:00,Andrew Heyes
16,33:35:00,Luke Prior
17,33:37:00,Matthew Edwards
18,33:39:00,Matthew Willis
19,33:45:00,Charlie Davis
20,33:51:00,Dan Nash
21,33:53:00,Joshua Lay
22,33:53:00,Alex Bampton
23,33:57:00,Tom Butler
24,33:57:00,Hamish Hickey
25,34:00:00,Alexander Chepelin
26,34:02:00,Jonathan Tobin
27,34:04:00,James Heneghan
28,34:08:00,Grant Cummings
29,34:09:00,Tim Harrison
30,34:10:00,Liam Rabjohn
31,34:10:00,Luke Duffy
32,34:12:00,Alex Lawrence
33,34:12:00,Iestyn Morgan Harrett
34,34:16:00,Joe Morrow
35,34:16:00,Kevin Wood
36,34:18:00,Conor Smith
37,34:20:00,Alex Muir
38,34:21:00,James Coxon
39,34:23:00,Joseph Massingham
40,34:26:00,Alex Brown
41,34:27:00,Cameron Bell
42,34:28:00,Tom Graham-Marr
43,34:28:00,Phillip Crout
44,34:28:00,George Gathercole
45,34:32:00,Robbie Brown
46,34:38:00,George Wheeler
47,34:40:00,Benedict Westhenry
48,34:40:00,Richard Slade
49,34:41:00,Oliver Barbaresi
50,34:43:00,David Mullarkey
51,34:44:00,Patrick Roddy
52,34:44:00,James Wignall
53,34:44:00,James Dunn
54,34:44:00,Craig Jardine
55,34:50:00,Cameron Reilly
56,34:55:00,Jeremy Dempsey
57,34:57:00,Craig McMeechan
58,35:00:00,Jacob O'Hara
59,35:01:00,Eddie Narbett
60,35:01:00,Alex Carcas
61,35:06:00,Ben Lewis
62,35:08:00,Cameron Allan
63,35:09:00,Dale Colley
64,35:09:00,Edward Buck
65,35:11:00,Thomas Gostelow
66,35:12:00,Euan Brennan
67,35:12:00,Andrew Milligan
68,35:13:00,William Stanley
69,35:16:00,Nathan Marsh
70,35:19:00,Daniel Mulryan
71,35:22:00,Jamie Parkinson
72,35:23:00,Calum Steer
73,35:24:00,Rian McCawley
74,35:24:00,Finn Lydon
75,35:24:00,Alex Doyle
76,35:24:00,Aidan Smith
77,35:25:00,Luke Cotter
78,35:26:00,Daniel Brookling
79,35:29:00,Niki Faulkner
80,35:31:00,Andrew Rolland
81,35:32:00,James Walker
82,35:33:00,Thomas Drabble
83,35:36:00,Cameron Smith
84,35:39:00,George Phillips
85,35:40:00,Henry Hart
86,35:41:00,Tom Slattery
87,35:43:00,Ross Broomfield
88,35:46:00,Billy Hobbs
89,35:46:00,Alex Tripp
90,35:48:00,Andrew Smith
91,35:51:00,Harry Holmes
92,35:51:00,Peter Cameron
93,35:51:00,Oliver Newton
94,35:52:00,James Lyne
95,35:54:00,Euan Wilson
96,35:56:00,Arlo Ludewick
97,35:57:00,Dominic Priest
98,35:59:00,Robbie Ferguson
99,36:02:00,Alfred Yabsley
100,36:02:00,Christopher Larkin
101,36:04:00,Andrew MacAngus
102,36:07:00,Hassan Ben-Tiba
103,36:09:00,Arun Dight
104,36:09:00,Jac Smith
105,36:13:00,James Habergham
106,36:13:00,Chris Booth
107,36:18:00,James Rolls
108,36:19:00,Luke Howard
109,36:20:00,Andrew Thomas
110,36:22:00,Josh Barnett
111,36:22:00,Alex Lanz
112,36:23:00,Calum Phillip
113,36:24:00,Cameron Cass
114,36:24:00,Thomas Rogerson
115,36:24:00,Floyd Ratcliffe
116,36:25:00,Conrad Webber
117,36:26:00,Taylor Glover
118,36:33:00,Jamie Mackinnon
119,36:36:00,Julian Slater
120,36:41:00,Jacques Cunningham Marsh
121,36:41:00,Oscar Bell
122,36:42:00,Andrew Headley
123,36:43:00,Philip Neilson
124,36:44:00,Sam Tyas
125,36:45:00,Leo Cossham
126,36:46:00,Miles Clisham
127,36:46:00,William Page
128,36:47:00,Thomas Halling
129,36:50:00,Aaron enser
130,36:50:00,Owen Thomas
131,36:51:00,Aaron Odentz
132,36:52:00,William Hayward
133,36:53:00,Will Marshall
134,36:55:00,James Maloney
135,36:56:00,Euan Nicholls
136,36:58:00,Daniel Patel
137,36:58:00,Toby Garrick
138,37:01:00,Jack Dickenson
139,37:01:00,Drew Pollock
140,37:02:00,Jamie Mclaren
141,37:02:00,Paul Peters
142,37:03:00,Josh Edwards
143,37:05:00,Tom Lines
144,37:05:00,Mihaly Ormay
145,37:07:00,Matthew Briggs
146,37:13:00,Alex Jolly
147,37:16:00,Gavin Bryson
148,37:18:00,William Bowran
149,37:19:00,Alexander Cook
150,37:19:00,James Fox
