position,raw_time,raw_name
1,37:21:00,Mahamed Mahamed
2,37:36:00,Adam Hickey
3,38:15:00,Tom Evans
4,38:26:00,James Hunt
5,38:37:00,Calum Johnson
6,38:46:00,Tom Mortimer
7,39:09:00,Jonathan Glen
8,39:23:00,Jack Millar
9,39:27:00,Joe Wilkinson
10,39:34:00,Frank Baddick
11,39:41:00,Charlie Davis
12,39:47:00,Luke Prior
13,39:50:00,Daniel Haworth
14,39:53:00,Jack Leitch
15,39:55:00,Dan Cliffe
16,39:59:00,Alastair Watson
17,40:03:00,Cameron Bell
18,40:05:00,Zakariya Mahamed
19,40:06:00,Linton Taylor
20,40:12:00,Tim Harrison
21,40:14:00,Ben Cole
22,40:18:00,Samuel Moakes
23,40:21:00,Joe Wigfield
24,40:22:00,Shane Robinson
25,40:24:00,Kevin Moore
26,40:27:00,Darren Deed
27,40:28:00,Conan McCaughey
28,40:28:00,Andy Greenleaf
29,40:31:00,Ben Fish
30,40:33:00,Carl Smith
31,40:37:00,Tom Austin
32,40:43:00,Liam Aldridge
33,40:45:00,Jamie Knapp
34,40:46:00,Cameron Allan
35,40:52:00,Tom Adams
36,40:53:00,John Eves
37,40:53:00,Tim Raynes
38,40:56:00,Richard Burney
39,40:57:00,Lee Gratton
40,40:59:00,Sam Eglen
41,41:01:00,Fraser Stewart
42,41:03:00,Chris Perham
43,41:08:00,Gregory Jayasuriya
44,41:09:00,Philip Sewell
45,41:12:00,Joseph Dugdale
46,41:13:00,Joshua Woodcock-Shaw
47,41:13:00,Billy Cartwright
48,41:14:00,James McCrae
49,41:21:00,Gary Laybourne
50,41:23:00,Luke Pickering
50,41:24:00,Paul Martelletti
51,41:30:00,Simon Allen
52,41:33:00,Ross Campbell
53,41:37:00,Dominic Brown
54,41:40:00,Richard Slade
55,41:40:00,Josh Cara
56,41:41:00,Joe Baxter
57,41:42:00,Jim Allchin
58,41:45:00,Corey De'Ath
59,41:46:00,Chris Law
60,41:46:00,David Green
61,41:47:00,Rian McCawley
62,41:47:00,James Reed
63,41:49:00,Joe Rainsford
64,41:50:00,Alasdair Russell
65,41:56:00,David Mullarkey
66,41:57:00,Johnny Gilby
67,41:58:00,Sam Costley
68,41:59:00,John Collier
69,42:00:00,Tom Aldred
70,42:00:00,Owain Jones
71,42:03:00,Jonathan Goringe
72,42:04:00,James Wignall
73,42:06:00,Declan Reed
74,42:07:00,Ryan Gray
75,42:09:00,Connor Milnes
76,42:10:00,Adrian Mussett
77,42:10:00,Jon Morris
78,42:12:00,Simon Heath
79,42:13:00,Robert Danson
80,42:15:00,Nathan Lawson
81,42:16:00,Christopher Larkin
82,42:18:00,Hugo Cayssials
83,42:21:00,Sullivan Smith
84,42:22:00,George Wheeler
85,42:23:00,James Scott-Farrington
86,42:23:00,Peter Brookes
87,42:25:00,Mohamed Mohamed
88,42:26:00,John Battrick
89,42:26:00,Chris McMillan
90,42:27:00,Edward Knudsen
91,42:29:00,Shaun Evans
92,42:29:00,Harry Holmes
93,42:29:00,Matt Hall
94,42:29:00,Finn Lydon
95,42:30:00,Angus Holford
96,42:30:00,Aramias Zeration
97,42:31:00,Michael Hedley
98,42:35:00,Hamish Hickey
99,42:37:00,Alex Miell-Ingram
100,42:39:00,Oliver Newton
101,42:42:00,Mark Jenkin
102,42:44:00,Tom Higgs
103,42:48:00,William Cork
104,42:50:00,Steven Tuttle
105,42:54:00,George Dollner
106,42:55:00,Rob Warner
107,43:01:00,James Habergham
108,43:03:00,David Fewell
109,43:03:00,Simon O'Meara
110,43:05:00,Callum O'Neill
111,43:05:00,James Tuttle
112,43:07:00,Oliver Matharu
113,43:08:00,Rhys Boorman
114,43:10:00,Anthony Woodward
115,43:10:00,Arun Dight
116,43:11:00,Richard Carpenter
117,43:12:00,Lee Milburn
118,43:15:00,Matthew Bowser
119,43:17:00,Dave Ragan
120,43:23:00,Shaun Smith
121,43:23:00,Jon-Jo Doherty
122,43:25:00,Alex Brown
123,43:26:00,Calum Steer
124,43:28:00,Tim Harris
125,43:28:00,Oliver Carrington
126,43:30:00,Phil Robertson
127,43:31:00,Richard Henderson
128,43:33:00,Jack Eykelbosch
129,43:34:00,Ben Costello
130,43:34:00,Luc Jolly
131,43:35:00,Andrew Headley
132,43:36:00,Matthew Yates
133,43:36:00,Calum Upton
134,43:40:00,Will Boutwood
135,43:41:00,Stuart Doyle
136,43:43:00,Tom Wood
137,43:44:00,Richard Kowenicki
138,43:47:00,Conrad Franks
139,43:48:00,Niall Stewart
140,43:49:00,James Hancock
141,43:50:00,James Gillon
142,43:52:00,Marley Godden
143,43:53:00,James Chettle
144,43:54:00,Tristan Windley
145,43:55:00,Christopher Davies
146,43:56:00,Aidan Daniel
147,43:59:00,Thomas Gostelow
148,43:59:00,Callum Gillett
149,44:01:00,Jamie Goodge
150,44:01:00,Rob Webb
