position,raw_time,raw_name
1,28:05:00,Jack Rowe
2,28:16:00,Andrew Butchart
3,28:27:00,Jamie Crowe
4,28:42:00,Tom Mortimer
5,28:43:00,William Battershill
6,28:43:00,Stuart McCallum
7,28:46:00,Jake Smith
8,28:52:00,Calum Johnson
9,28:57:00,Hugo Milner
10,29:00:00,Rory Leonard
11,29:01:00,Tom Anderson
12,29:09:00,Matthew Stonier
13,29:10:00,Seyed Taha Ghafari
14,29:13:00,Jacob Allen
15,29:13:00,Zakariya Mahamed
16,29:14:00,Sam Charlton
17,29:20:00,Ben Bradley
18,29:22:00,Samuel Moakes
19,29:23:00,Dominic Nolan
20,29:24:00,Dan Nash
21,29:24:00,Alexander Teuten
22,29:24:00,Mahamed Mahamed
23,29:25:00,Oliver Barbaresi
24,29:27:00,Richard Allen
25,29:28:00,Jack Goodwin
26,29:28:00,Dylan Evans
27,29:29:00,Jordan Rowe
28,29:29:00,Christian Graham
29,29:31:00,Jonathan Mellor
30,29:33:00,Liam Dee
31,29:35:00,Alex Ediker
32,29:36:00,Sam Dickinson
33,29:37:00,Max Milarvie
34,29:38:00,Sol Sweeney
35,29:39:00,Joe Hudson
36,29:40:00,Jacob Cann
37,29:43:00,Abed Teweldebrhan
38,29:44:00,Angus McMillan
39,29:45:00,Alasdair Kinloch
40,29:46:00,Jonathan Escalante-Phillips
41,29:46:00,Lachlan Oates
42,29:46:00,Jack Millar
43,29:47:00,Ned Potter
44,29:48:00,Jonathan Glen
45,29:50:00,Charlie Davis
46,29:53:00,Alexander Leprêtre
47,29:54:00,Cameron Allan
48,29:56:00,Linton Taylor
49,30:07:00,Thomas Keen
50,30:09:00,Phillip Crout
51,30:09:00,Callum Davidson
52,30:10:00,Tom Graham-Marr
53,30:13:00,Jamie Burns
54,30:14:00,Daniel Haworth
55,30:15:00,Nathan Jones
56,30:16:00,Tomer Tarragano
57,30:16:00,Tom Butler
58,30:16:00,Charlie Brisley
59,30:18:00,Ahmed Abdulle
60,30:21:00,Sam Costley
61,30:24:00,William Cork
62,30:26:00,James Pettersson
63,30:28:00,Michael Bartram
64,30:31:00,Corey De'Ath
65,30:34:00,James Edgerton
66,30:36:00,Sean Chalmers
67,30:38:00,Freddy Richardson
68,30:39:00,Dom James
69,30:39:00,Lucian Allison
70,30:41:00,Jamie Goodge
71,30:41:00,Dominic Priest
72,30:42:00,Robert Warner
73,30:43:00,Tim Raynes
74,30:43:00,Jeremy Dempsey
75,30:48:00,Lewis Rodgers
76,30:48:00,Luke Prior
77,30:50:00,Edward Buck
78,30:51:00,Rian McCawley
79,30:51:00,Morgan James
80,30:53:00,Kieran Reilly
81,30:54:00,Luca Fanottoli
82,30:59:00,Benjamin Wills
83,31:00:00,Samuel Goodchild
84,31:00:00,Gregory Jayasuriya
85,31:03:00,Thomas Patrick
86,31:03:00,Macgregor Cox
87,31:08:00,Jack Shayler
88,31:09:00,James McCrae
89,31:09:00,George Phillips
90,31:09:00,Matthew Briggs
91,31:11:00,Scott Halsted
92,31:12:00,James Minter
93,31:13:00,Thomas Gostelow
94,31:15:00,Tim Harrison
95,31:17:00,Daniel Kashi
96,31:19:00,Ben Shaw
97,31:21:00,Rikki James
98,31:22:00,Max Heyden
99,31:24:00,Oliver Newman
100,31:27:00,Chris Law
101,34:05:00,Scott Williams
102,34:06:00,Joshua Selfridge
103,34:07:00,Charlie Palmer
104,34:08:00,Steven Tuttle
105,34:09:00,Tom Schwantje
106,34:13:00,Matteo Gala
107,34:13:00,Jirka Kucera
108,34:14:00,Ethan Wight
109,34:15:00,Stephen Green
110,34:16:00,Simon Coombes
111,34:18:00,Andrew Parmenter
112,34:22:00,Max McGarvie
113,34:26:00,Matthew Dicks
114,34:30:00,Sean Collum
115,34:33:00,Oscar Jones
116,34:36:00,Ollie Badger
117,34:38:00,Will Frank
118,34:39:00,William Christofi
119,34:39:00,Dean Childs
120,34:42:00,James Repper
121,34:44:00,Liam McNabola
122,34:46:00,Andrew Inchley
123,34:46:00,Jonathan Scott
124,34:48:00,James Vinnicombe
125,34:51:00,Sean Wilson
126,34:52:00,Matthew Lock
127,34:53:00,Lee Dover
128,34:55:00,Matthew Howes
129,34:57:00,Rob Elmore
130,34:58:00,Genci Pepaj
131,34:58:00,William Allen
132,35:01:00,Louis Peterson
133,35:02:00,Matthew Wade
134,35:03:00,Adam Yorwerth
135,35:03:00,Tony Brady-Locke
136,35:08:00,Phillip Evans
137,35:08:00,Finn O'Brien
138,35:09:00,Oliver Neely
139,35:16:00,Thomas Dixon
140,35:20:00,Sam Aris
141,35:27:00,Douglas Coleman
142,35:28:00,David Cruz Walma
143,35:28:00,Harry Digby
144,35:29:00,Edward Jolliffe
145,35:44:00,Kieran Gilfedder
146,35:46:00,Benjamin Williamson
147,35:48:00,Oliver Kidd
148,35:49:00,Toby Rowlands
149,35:52:00,Antoine Levie
150,35:53:00,Tate Mayoh
