position,raw_time,raw_name
1,29:37:00,Mahamed Mahamed
2,29:42:00,Sam Stabler
3,29:44:00,Tom Evans
4,29:49:00,Jack Gray
5,30:07:00,Alexander Teuten
6,30:09:00,James McMurray
7,30:11:00,Jack Millar
8,30:14:00,Adam Hickey
9,30:17:00,Jonathan Escalante-Phillips
10,30:19:00,Joe Wilkinson
11,30:21:00,Matt Bray
12,30:24:00,Liam Dee
13,30:30:00,Jamie Williamson
14,30:40:00,Luke Cotter
15,30:45:00,Linton Taylor
16,30:50:00,Ian Crowe-Wright
17,30:51:00,Jayme Rossiter
18,31:01:00,Mark Pearce
19,31:09:00,Charlie Davis
20,31:11:00,Tim Harrison
21,31:14:00,Jonathan Janes
22,31:19:00,Joshua Schofield
23,31:22:00,Tom Austin
24,31:23:00,Oliver Paulin
25,31:23:00,Norman Shreeve
26,31:28:00,James Habergham
27,31:33:00,Robbie Brown
28,31:36:00,James Coxon
29,31:37:00,Harry Brodie
30,31:42:00,Alasdair Kinloch
31,31:54:00,Joe Morrow
32,31:56:00,Leopoldo Burguete
33,31:58:00,Alex Gruen
34,32:00:00,Sam Brown Araujo
35,32:01:00,William Cork
36,32:04:00,George Wheeler
37,32:10:00,Edward Blythman
38,32:13:00,Jamie Goodge
39,32:16:00,Daniel Woodgate
40,32:19:00,James Minter
41,32:20:00,Richard Slade
42,32:21:00,Daniel Kashi
43,32:23:00,Stephen Garrett
44,32:23:00,Matthew Seddon
45,32:25:00,Joe Bowness
46,32:25:00,James Tuttle
47,32:26:00,Jamie Seddon
48,32:29:00,Jordan Clay
49,32:34:00,Thomas Gostelow
50,32:36:00,Tom Comerford
51,32:36:00,Milan Campion
52,32:39:00,Peter Benedickter
53,32:39:00,Thomas Renshaw
54,32:46:00,Daniel Bundred
55,32:49:00,William Gardner
56,33:05:00,Ewan Forsythe
57,33:07:00,Matthew Dicks
58,33:08:00,Oliver Carrington
59,33:14:00,Charles Wheeler
60,33:14:00,Aidan Smith
61,33:15:00,Sam Winters
62,33:15:00,Luke Delderfield
63,33:16:00,Sebastian Cirillo
64,33:18:00,Genci Pepaj
65,33:20:00,Jack Eykelbosch
66,33:21:00,Andrew Headley
67,33:22:00,Tom Wood
68,33:23:00,Alex Miell-Ingram
69,33:23:00,Will Perkin
70,33:25:00,Paul Mizon
71,33:30:00,Elliot Hind
72,33:34:00,Bryn Smith
73,33:37:00,Callum Gillett
74,33:47:00,Rob Elmore
75,33:52:00,Jed Noblett
76,33:52:00,David Clark
77,33:54:00,Joe Strange
78,33:56:00,Zac Hudd
79,33:56:00,Michael Bartram
80,33:57:00,Myles Caddell
81,33:59:00,Alexander Betts
82,34:02:00,Toby Ralph
83,34:03:00,Alex Jackson
84,34:04:00,Joel Dungworth
85,34:11:00,Charlie May
86,34:11:00,Matt Daquila
87,34:12:00,Mintu Sidhu
88,34:21:00,Alex Jago
89,34:25:00,Duncan Lawrence
90,34:27:00,Robert Hickman
91,34:27:00,Thomas Halling
92,34:31:00,Tom Barrett
93,34:34:00,Max Perry
94,34:35:00,Aran Davidson
95,34:36:00,Oliver Smith
96,34:36:00,Steven Tuttle
97,34:48:00,Marc Rodriguez
98,34:48:00,Charles Kershaw
99,34:48:00,Owen Stepney
100,34:49:00,Kieran Gilfedder
