position,raw_time,raw_name
1,43:36:00,Calum Johnson
2,43:59:00,Joe Steward
3,44:13:00,Linton Taylor
4,44:24:00,Adam Hickey
5,44:33:00,Carl Avery
6,44:35:00,Daniel Jarvis
7,44:41:00,Zak Seddon
8,44:42:00,Graham Rush
9,44:54:00,Mark Buckingham
10,44:56:00,Jack Millar
11,45:00:00,Maximilian Nicholls
12,45:02:00,Alexander Leprêtre
13,45:04:00,Jayme Rossiter
14,45:23:00,Omar Ahmed
15,45:26:00,John Gilbert
16,45:28:00,Antonio Silva
17,45:33:00,Joe Wilkinson
18,45:37:00,Liam Dee
19,45:51:00,Daniel Haworth
20,45:51:00,Richard Allen
21,45:55:00,Tom Frith
22,45:56:00,Kadar Omar
23,45:56:00,Robert Warner
24,45:58:00,Ben Cole
25,46:01:00,Tim Harrison
26,46:03:00,Jack Goodwin
27,46:04:00,Ellis Cross
28,46:06:00,Dan Cliffe
29,46:08:00,Charlie Davis
30,46:11:00,Joseph Smith
31,46:15:00,Jonathan Escalante-Phillips
32,46:17:00,Kieran Reilly
33,46:19:00,Peter Le Grice
34,46:24:00,Robert Meyer
35,46:25:00,Edward Shepherd
36,46:26:00,Joshua Woodcock-Shaw
37,46:27:00,Joseph Massingham
38,46:28:00,Leopoldo Burguete
39,46:32:00,Ross Braden
40,46:32:00,Jake Shelley
41,46:33:00,Dom James
42,46:34:00,Freddie Hessian
43,46:39:00,Ryan Driscoll
44,46:41:00,Callum Jones
45,46:42:00,Roger Poolman
46,46:43:00,Gary Laybourne
47,46:44:00,Liam Aldridge
48,46:45:00,Alex Bampton
49,46:48:00,Alastair Watson
50,46:51:00,Johnny Van Deventer
51,46:51:00,Matthew Seddon
52,46:51:00,Phil Robertson
53,46:52:00,Darren Deed
54,46:53:00,Gus Cockle
55,46:53:00,Chris Livesey
56,46:55:00,Edgars Sumskis
57,46:58:00,Matthew Grieve
58,46:59:00,Tom Butler
59,47:01:00,Corey De'Ath
60,47:04:00,Sean Renfer
61,47:06:00,Gordon Benson
62,47:08:00,William Onek
63,47:09:00,Ben Alcock
64,47:12:00,Josh Cara
65,47:13:00,Chris Rainsford
66,47:14:00,John Eves
67,47:15:00,William Cork
68,47:17:00,Jamie Knapp
69,47:18:00,Elliot Palmer
70,47:19:00,Kurt Taylor
71,47:20:00,Andrew Chambers
72,47:20:00,Richard Burney
73,47:22:00,Owain Jones
74,47:24:00,Tom Mahon
75,47:25:00,Luke Prior
76,47:25:00,Philip Sewell
77,47:26:00,Luke Fisher
78,47:26:00,James Wignall
79,47:27:00,Callan Moody
80,47:29:00,Dylan Evans
81,47:31:00,Billy Cartwright
82,47:31:00,Joe Morrow
83,47:33:00,Sam Johnson
84,47:34:00,Robel Bahelbi
85,47:34:00,Chris Darling
86,47:35:00,Tewelde Menges
87,47:35:00,Alasdair Russell
88,47:37:00,Charlie Haywood
89,47:38:00,Daniel Kashi
90,47:38:00,Jamie Bryant
91,47:38:00,Marcos Angel Valero Palacios
92,47:39:00,William Mackay
93,47:41:00,Jim Allchin
94,47:41:00,Max Costley
95,47:42:00,Tom Jervis
96,47:43:00,Matthew Barnes
97,47:43:00,Michael Ellis
98,47:48:00,Chris Law
99,47:49:00,Russell Bentley
100,47:50:00,Rian McCawley
101,47:52:00,Phillip Crout
102,47:55:00,Cameron Payas
103,47:56:00,David Bishop
104,47:56:00,Kieran Walker
105,47:56:00,Andrew Watt
106,47:58:00,Jack Ramm
107,47:58:00,Mike Tanner
108,48:03:00,Gary Priestley
109,48:06:00,Ross Campbell
110,48:06:00,Harry Holmes
111,48:08:00,Jed Bartlett
112,48:09:00,Shaun Smith
113,48:10:00,George Gathercole
114,48:10:00,Bruce Raeside
115,48:10:00,Mick Hill
116,48:12:00,William Mycroft
117,48:12:00,Rob Wilson
118,48:13:00,Jose Gray
119,48:14:00,David Green
120,48:21:00,James Habergham
121,48:22:00,Aidan Smith
122,48:23:00,Gregory Jayasuriya
123,48:25:00,Joshua Moody
124,48:27:00,Sam Costley
125,48:28:00,Alex Sutton
126,48:28:00,Josh Carr
127,48:32:00,Frederick Slemeck
128,48:33:00,Cedric Hauben
129,48:35:00,William Christofi
130,48:35:00,Joe Rainsford
131,48:36:00,Terence Fawden
132,48:39:00,Miles Weatherseed
133,48:40:00,Jamie Goodge
134,48:41:00,Patrick Roddy
135,48:42:00,Lee Gratton
136,48:44:00,James Hoad
137,48:44:00,Alex Tovey
138,48:46:00,Matthew Battley
139,48:48:00,James Turner
140,48:50:00,Edward Knudsen
141,48:53:00,Paul Mizon
142,48:56:00,Oliver Newton
143,48:57:00,Ben Anderson
144,48:58:00,Johnny Gilby
145,49:00:00,Duncan Birtwistle
146,49:00:00,Oliver Heaslip
147,49:02:00,Greg Divall
148,49:03:00,Murray Strain
149,49:05:00,Felix McGrath
150,49:05:00,Carl Delaney
151,49:05:00,Charles Wheeler
152,49:06:00,Jonathan Bradford
153,49:06:00,Angus Holford
154,49:07:00,Connor Milnes
155,49:07:00,Charles Hardy
156,49:08:00,Michael Channing
157,49:09:00,Peter Chambers
158,49:10:00,Philip Winkler
159,49:11:00,John Birch
160,49:12:00,Michael Gilbert
161,49:13:00,Matt Hall
162,49:15:00,Andrew Ward
163,49:19:00,Eliot Nevill
164,49:22:00,Jay Ferns
165,49:22:00,Hugo Cayssials
166,49:22:00,Jarlath Mckenna
167,49:23:00,Alex Howard
168,49:24:00,Jake Callis
169,49:24:00,Alex Hampson
170,49:25:00,Aidan Daniel
171,49:26:00,Jon-Jo Doherty
172,49:26:00,Thomas Renshaw
173,49:27:00,Jack Boswell
174,49:28:00,Simon O'Meara
175,49:29:00,George Lewis
176,49:30:00,Richard Ollington
177,49:32:00,James Denne
178,49:34:00,Simon Millett
179,49:38:00,Dominic Brown
180,49:40:00,Jonathan Goringe
181,49:40:00,Lawrence Hollom
182,49:42:00,Joe Read
183,49:43:00,Steven Tuttle
184,49:43:00,Sullivan Smith
185,49:43:00,Kai Sunman
186,49:44:00,Jon Morris
187,49:45:00,Jack Eykelbosch
188,49:46:00,Alasdair Kinloch
189,49:46:00,Stephen Strange
190,49:47:00,James Chettle
191,49:47:00,James Stockings
192,49:48:00,Mike Burrett
193,49:50:00,Peter Brookes
194,49:52:00,Luc Jolly
195,49:54:00,Josh Knight
196,49:56:00,James Tuttle
197,49:57:00,Callum O'Neill
198,49:59:00,Duncan Coombs
199,50:01:00,Amittai Ben-Israel
200,50:01:00,Chris Perrin
201,50:02:00,Oliver Carrington
202,50:02:00,Michael Towler
203,50:04:00,Jordan Clay
204,50:05:00,Tom Collins
205,50:05:00,Bertie Houghton
206,50:05:00,Oliver Matharu
207,50:05:00,Thomas Kearns
208,50:06:00,Michael Hedley
209,50:09:00,Richard Henderson
210,50:11:00,David Fewell
211,50:12:00,Tom Beedell
212,50:12:00,Gareth Raven
213,50:14:00,Martin Turton
214,50:15:00,Rob Warner
215,50:16:00,Gavin Browne
216,50:17:00,Liam Roarty
217,50:20:00,Stephen Jackson
218,50:22:00,Andrew Warburton
219,50:23:00,Joseph Vis
220,50:23:00,James Lyne
221,50:25:00,Sam Winters
222,50:26:00,Alex Miell-Ingram
223,50:27:00,Marley Godden
224,50:28:00,Ben Goddard
225,50:29:00,Alexander Cook
