position,raw_time,raw_name
1,04:03:00,Anna Emilie Møller
2,04:49:00,Jessica Judd
3,05:22:00,Jennifer Nesbitt
4,05:25:00,Charlotte Dannatt
5,05:28:00,Abbie Donnelly
6,05:37:00,Izzy Fry
7,05:48:00,Dani Chattenton
8,05:49:00,Eloise Walker
9,05:53:00,Eleanor Bolton
10,06:23:00,Niamh Bridson Hubbard
11,06:25:00,Niamh Brown
12,06:25:00,Lauren McNeil
13,06:26:00,Hannah Irwin
14,06:36:00,Grace Copeland
15,06:44:00,Emily Ruane
16,06:46:00,Nancy Scott
17,06:47:00,Sophie Tarver
18,07:10:00,Holly Page
19,07:11:00,Chloe Sharp
20,07:20:00,Sabrina Sinha
21,07:21:00,Lucy Marland
22,07:23:00,Becky Briggs
23,07:29:00,Jemima Elgood
24,07:39:00,Beth Garland
25,07:40:00,Lauren Cooper
26,07:41:00,Katie Palfreeman
27,07:52:00,Holly Little
28,07:55:00,Elizabeth Apsley
29,07:57:00,Erica Byram
30,08:02:00,Rhona Mowat
31,08:19:00,Tessa McCormick
32,08:23:00,Lucy Byram
33,08:24:00,Eilish O'Grady
34,08:33:00,Zoe Pflug
35,08:35:00,Hannah Stroud
36,08:36:00,Eve Pannone
37,08:37:00,Kari Noelken
38,08:37:00,Beth Ansell
39,08:39:00,Bethaney Donnelly
40,08:40:00,Cyane Robinson
41,08:44:00,Kerry MacAngus
42,08:46:00,Lynn Mckenna
43,08:50:00,Victoria Kenny
44,08:51:00,Alex Mundell
45,08:52:00,Molly Butterworth
46,08:53:00,Lauren McCulloch
47,08:54:00,Sarah Tait
48,08:54:00,Florence Wiggins
49,08:55:00,Kirsty Dickson
50,08:56:00,Jasmine Cooper
51,08:57:00,Rebecca Johnson
52,08:58:00,Juliet Downs
53,08:58:00,Laura Wright
54,08:58:00,Olivia Stones
55,09:04:00,Victoria Hiscock
56,09:08:00,Chloe Potter
57,09:09:00,Nicole Edmunds
58,09:13:00,Ellen Downs
59,09:17:00,Catriona Walsh
60,09:20:00,Chloe Dooley
61,33:22:00,Lauren Howe
62,33:24:00,Emily Strathdee
63,33:24:00,Jana Machacova
64,33:26:00,Frances Arnott
65,33:29:00,Lottie Rowedder
66,33:29:00,Zoe Bates
67,33:31:00,Emily Faulkner
68,33:35:00,Kate Brown
69,33:36:00,Jessica MacLeod
70,33:40:00,Freya Weddell
71,33:41:00,Amy Fuller
72,33:49:00,Ella Burfitt
73,33:50:00,Nayana Jain
74,33:54:00,Lauren Charlton
75,34:00:00,Ellie Armstrong
76,34:01:00,Issy Cotham
77,34:01:00,Rosemary Tomey
78,34:06:00,Katie Lord
79,34:06:00,Tamsin McGraw
80,34:07:00,Ella Revitt
81,34:09:00,Amy Hammersley
82,34:10:00,Sophie Reed
83,34:16:00,Lucy Williamson
84,34:17:00,Hannah Addison
85,34:17:00,Chloe Baker
86,34:21:00,Shona Haston
87,34:21:00,Caitlin Tevendale
88,34:21:00,Caitlin Arnott
89,34:26:00,Hannah Barnard
90,34:26:00,Darja Knotkova-Hanley
91,34:37:00,Gemma Bigg
92,34:38:00,Lauren Davies-Beckett
93,34:39:00,Niamh Shaw
94,34:41:00,Aoife Carr
95,34:42:00,Ella-May Hards
96,34:43:00,Jasmin Dobson
97,34:44:00,Hannah Morris
98,34:49:00,Hana Blake
99,34:58:00,Claire Jones
