position,raw_time,raw_name
1,26:29:00,Jessica Judd
2,26:46:00,Jennifer Nesbitt
3,26:51:00,Abbie Donnelly
4,26:53:00,Amelia Quirk
5,26:54:00,Jessica Gibbon
6,27:01:00,Kate Avery
7,27:13:00,Izzy Fry
8,27:15:00,Eleanor Bolton
9,27:19:00,Lauren Heyes
10,27:22:00,Eloise Walker
11,27:26:00,Cari Hughes
12,27:32:00,Jemima Elgood
13,27:34:00,Alexandra Millard
14,27:35:00,Pippa Woolven
15,27:36:00,Amelia Samuels
16,27:37:00,Sophie Tarver
17,27:39:00,Mhairi MacLennan
18,27:41:00,Kirsty Walker
19,27:42:00,Rebecca Murray
20,27:43:00,Beth Hawling
21,27:47:00,Hannah Irwin
22,27:59:00,Revee Walcott-Nolan
23,28:02:00,Morag Millar
24,28:02:00,Philippa Stone
25,28:03:00,Niamh Brown
26,28:05:00,Scout Adkin
27,28:06:00,Hannah Viner
28,28:08:00,Almi Nerurkar
29,28:15:00,Caroline Lambert
30,28:18:00,Kate Maltby
31,28:19:00,Louise Small
32,28:20:00,Emily Thompson
33,28:22:00,Holly Page
34,28:23:00,Nicole Taylor
35,28:30:00,Holly Dixon
36,28:32:00,Ellie Wallace
37,28:36:00,Elena Carey
38,28:37:00,Saskia Millard
39,28:39:00,Bryony Gunn
40,28:42:00,Katie Palfreeman
41,28:45:00,Nancy Scott
42,28:50:00,Mollie Williams
43,28:52:00,Maisie Grice
44,28:56:00,Naomi Lang
45,28:57:00,Alex Eykelbosch
46,28:58:00,Lauren Hall
47,29:00:00,Imogen Wood
48,29:03:00,Georgia Malir
49,29:03:00,Anna Bracegirdle
50,29:04:00,Grace Molloy
51,29:09:00,Ruby Woolfe
52,29:13:00,Emily Ruane
53,29:14:00,Grace Brock
54,29:17:00,Elsa Palmer
55,29:18:00,Sarah Tait
56,29:20:00,Kate Estlea
57,29:20:00,Ruth Jones
58,29:21:00,Alex Barbour
59,29:27:00,Holly Little
60,29:28:00,Becky Penty
61,29:30:00,Rhianne Hughes
62,29:39:00,Hannah Robinson
63,29:41:00,Alex O'Brien
64,29:48:00,Rachel Brown
65,29:50:00,Lucy Jones
66,29:53:00,Juliet Hodder
67,29:55:00,Abbey Brooke
68,29:57:00,Victoria Weir
69,30:03:00,Jessica Christie
70,30:04:00,Abby Rex
71,30:14:00,Carol Parsons
72,30:19:00,Naomi Lenane
73,30:22:00,Emily Lowery
74,30:24:00,Emily McNicol
75,30:29:00,Eloise Bull
76,30:31:00,Carla Davies
77,30:32:00,Antonia Fan
78,30:32:00,Julia Jagger
79,30:38:00,Dominique Corradi
80,30:45:00,Kirsty Longley
81,30:51:00,Lucy Thornton
82,30:55:00,Grace Pow
83,31:08:00,Ellen Crombie
84,31:11:00,Debra Crook
85,31:13:00,Sharon Taylor
86,31:15:00,Lauren Nichols
87,31:15:00,Michelle Fairclough
88,31:23:00,Eileen Beach
89,31:25:00,Lily Higgins
90,31:28:00,India Elliott
91,31:30:00,Chloe Leather
92,31:33:00,Rebecca Evans
93,31:38:00,Maddy Watson
94,31:40:00,Rachel See
95,31:49:00,Sophie Rotheram
96,31:57:00,Rachel McQuillan
96,31:59:00,Lucy Milling
97,32:13:00,Maria Cook
98,32:17:00,Rheagan Edwards
99,32:21:00,Maddie Mastrolonardo
100,32:22:00,Anna Philps
